id_veiculo,id_loja,marca_veiculo,modelo_veiculo,situacao_veiculo
80,30,Volvo,142E,ATIVO
81,71,Merc,450SE,ATIVO
82,60,Merc,280,ATIVO
83,94,Merc,450SL,INATIVO
84,84,Toyota,Corolla,ATIVO
85,74,Mazda,RX4,ATIVO
86,23,Merc,450SL,ATIVO
87,24,Merc,450SL,ATIVO
88,95,Volvo,142E,ATIVO
89,48,Hornet,4,ATIVO
90,5,Camaro,Z28,ATIVO
91,46,Dodge,Challenger,ATIVO
92,95,Merc,240D,ATIVO
93,30,Lotus,Europa,ATIVO
94,49,Merc,280,ATIVO
95,12,Merc,280,ATIVO
96,1,Cadillac,Fleetwood,ATIVO
97,20,Merc,280C,ATIVO
98,53,Maserati,Bora,ATIVO
99,15,Hornet,4,ATIVO
100,83,Fiat,128,ATIVO
101,58,Merc,240D,ATIVO
102,36,Fiat,128,ATIVO
103,11,Datsun,710,ATIVO
104,93,Pontiac,Firebird,ATIVO
105,76,Maserati,Bora,ATIVO
106,13,Merc,280C,INATIVO
107,8,Cadillac,Fleetwood,ATIVO
108,2,Toyota,Corona,ATIVO
109,4,Merc,280C,ATIVO
110,50,Merc,240D,ATIVO
111,78,Mazda,RX4,ATIVO
112,97,Merc,450SL,ATIVO
113,62,Fiat,128,ATIVO
114,40,Merc,280,ATIVO
115,74,Fiat,X1-9,ATIVO
116,76,Chrysler,Imperial,ATIVO
117,12,AMC,Javelin,ATIVO
118,32,Hornet,4,ATIVO
119,24,Merc,230,ATIVO
120,92,Chrysler,Imperial,ATIVO
121,41,Lincoln,Continental,ATIVO
122,75,Merc,450SLC,ATIVO
123,56,Merc,450SL,INATIVO
124,90,Honda,Civic,ATIVO
125,58,Merc,450SLC,ATIVO
126,40,Merc,280,ATIVO
127,85,Ford,Pantera,ATIVO
128,23,Camaro,Z28,ATIVO
129,4,Lincoln,Continental,ATIVO
130,47,Honda,Civic,ATIVO
131,9,Hornet,4,ATIVO
132,6,Lotus,Europa,ATIVO
133,69,Toyota,Corolla,ATIVO
134,15,Fiat,X1-9,ATIVO
135,61,Volvo,142E,ATIVO
136,11,Merc,240D,ATIVO
137,97,Mazda,RX4,ATIVO
138,47,Porsche,914-2,ATIVO
139,70,Maserati,Bora,ATIVO
140,78,Ferrari,Dino,ATIVO
141,93,Fiat,X1-9,ATIVO
142,88,Merc,450SLC,ATIVO
143,16,Chrysler,Imperial,ATIVO
144,56,Mazda,RX4,ATIVO
145,65,Ferrari,Dino,ATIVO
146,76,Porsche,914-2,ATIVO
147,69,Chrysler,Imperial,ATIVO
148,36,Chrysler,Imperial,ATIVO
149,60,Ferrari,Dino,ATIVO
150,6,Merc,450SLC,ATIVO
151,54,Mazda,RX4,ATIVO
152,76,Merc,450SE,ATIVO
153,12,Merc,230,ATIVO
154,80,Volvo,142E,ATIVO
155,1,Pontiac,Firebird,ATIVO
156,66,Fiat,X1-9,ATIVO
157,12,Toyota,Corolla,ATIVO
158,78,Ford,Pantera,ATIVO
159,79,Merc,280,ATIVO
160,78,Ferrari,Dino,ATIVO
161,7,Mazda,RX4,ATIVO
162,27,Porsche,914-2,ATIVO
163,83,Ferrari,Dino,ATIVO
164,56,AMC,Javelin,ATIVO
165,82,Camaro,Z28,ATIVO
166,53,Merc,280,INATIVO
167,41,Merc,280,ATIVO
168,79,Ford,Pantera,ATIVO
169,31,Merc,450SE,ATIVO
170,14,Hornet,Sportabout,ATIVO
171,10,Lincoln,Continental,ATIVO
172,85,Merc,280C,ATIVO
173,79,Ford,Pantera,ATIVO
174,51,Duster,360,ATIVO
175,33,Maserati,Bora,ATIVO
176,58,Hornet,4,ATIVO
177,8,Merc,240D,ATIVO
178,87,Chrysler,Imperial,ATIVO
179,92,Duster,360,ATIVO
180,14,Mazda,RX4,ATIVO
181,93,Cadillac,Fleetwood,ATIVO
182,50,Ferrari,Dino,ATIVO
183,70,Merc,240D,ATIVO
184,12,Merc,450SL,ATIVO
185,68,Merc,230,ATIVO
186,26,Merc,280C,ATIVO
187,77,Fiat,X1-9,ATIVO
188,79,Merc,280C,ATIVO
189,48,Ferrari,Dino,ATIVO
190,12,Duster,360,ATIVO
191,91,Merc,450SLC,ATIVO
192,99,Merc,450SLC,ATIVO
193,80,Ferrari,Dino,ATIVO
194,43,Maserati,Bora,ATIVO
195,33,Datsun,710,ATIVO
196,39,Merc,240D,ATIVO
197,47,Honda,Civic,ATIVO
198,75,Ford,Pantera,ATIVO
199,71,Honda,Civic,ATIVO
200,89,Honda,Civic,ATIVO
201,72,Hornet,4,ATIVO
202,42,Camaro,Z28,ATIVO
203,87,Camaro,Z28,ATIVO
204,96,Mazda,RX4,ATIVO
205,42,Mazda,RX4,ATIVO
206,83,Maserati,Bora,ATIVO
207,55,Mazda,RX4,ATIVO
208,62,Merc,280C,ATIVO
209,22,Volvo,142E,ATIVO
210,3,Merc,280C,ATIVO
211,9,AMC,Javelin,ATIVO
212,63,AMC,Javelin,ATIVO
213,77,Merc,450SE,ATIVO
214,63,Fiat,128,ATIVO
215,70,Merc,450SLC,ATIVO
216,82,Cadillac,Fleetwood,ATIVO
217,35,Merc,450SE,ATIVO
218,64,Mazda,RX4,ATIVO
219,73,Ferrari,Dino,ATIVO
220,30,Maserati,Bora,ATIVO
221,66,Fiat,128,ATIVO
222,67,Hornet,4,ATIVO
223,93,Fiat,X1-9,ATIVO
224,59,Duster,360,ATIVO
225,32,Maserati,Bora,ATIVO
226,93,Merc,280,ATIVO
227,93,Merc,450SE,ATIVO
228,13,Fiat,X1-9,ATIVO
229,58,Fiat,128,ATIVO
230,12,Merc,280,ATIVO
231,26,Pontiac,Firebird,ATIVO
232,11,Honda,Civic,INATIVO
233,62,Pontiac,Firebird,ATIVO
234,24,AMC,Javelin,ATIVO
235,2,Merc,240D,ATIVO
236,93,AMC,Javelin,ATIVO
237,81,Toyota,Corona,ATIVO
238,21,Chrysler,Imperial,ATIVO
239,42,Fiat,128,ATIVO
240,69,Maserati,Bora,INATIVO
241,69,Toyota,Corolla,ATIVO
242,18,Ford,Pantera,ATIVO
243,58,Volvo,142E,ATIVO
244,6,Merc,230,ATIVO
245,31,Datsun,710,ATIVO
246,27,Duster,360,ATIVO
247,59,Pontiac,Firebird,ATIVO
248,86,Maserati,Bora,ATIVO
249,72,Merc,240D,ATIVO
250,60,Pontiac,Firebird,ATIVO
251,49,Camaro,Z28,ATIVO
252,64,Dodge,Challenger,ATIVO
253,84,Lotus,Europa,ATIVO
254,80,Lotus,Europa,ATIVO
255,2,Merc,450SE,ATIVO
256,80,Merc,280C,ATIVO
257,21,Merc,450SL,ATIVO
258,34,Merc,280,ATIVO
259,30,Merc,450SE,ATIVO
260,91,Merc,450SLC,ATIVO
261,86,Cadillac,Fleetwood,ATIVO
262,48,Merc,240D,ATIVO
263,5,Maserati,Bora,ATIVO
264,32,Datsun,710,ATIVO
265,78,Camaro,Z28,ATIVO
266,72,Lotus,Europa,ATIVO
267,71,Toyota,Corona,ATIVO
268,15,Lincoln,Continental,ATIVO
269,39,AMC,Javelin,ATIVO
270,87,Fiat,X1-9,ATIVO
271,56,Hornet,Sportabout,ATIVO
272,62,Honda,Civic,ATIVO
273,49,Datsun,710,ATIVO
274,40,AMC,Javelin,ATIVO
275,12,Merc,280,INATIVO
276,11,Merc,280C,ATIVO
277,85,Merc,230,ATIVO
278,7,Datsun,710,ATIVO
279,52,Merc,280,ATIVO
280,65,Lotus,Europa,ATIVO
281,94,Ford,Pantera,ATIVO
282,78,Duster,360,ATIVO
283,17,Mazda,RX4,ATIVO
284,46,Porsche,914-2,ATIVO
285,64,Merc,450SL,ATIVO
286,65,Merc,240D,ATIVO
287,16,Toyota,Corona,ATIVO
288,9,Honda,Civic,ATIVO
289,63,Ferrari,Dino,ATIVO
290,27,Merc,450SL,ATIVO
291,100,Merc,450SL,ATIVO
292,31,Lincoln,Continental,ATIVO
293,98,Merc,450SL,ATIVO
294,72,Toyota,Corolla,ATIVO
295,23,Toyota,Corona,ATIVO
296,95,Mazda,RX4,ATIVO
297,35,Volvo,142E,ATIVO
298,49,Hornet,Sportabout,ATIVO
299,94,Merc,450SE,ATIVO
300,44,Lotus,Europa,ATIVO
301,1,Duster,360,ATIVO
302,24,Toyota,Corona,ATIVO
303,89,Mazda,RX4,ATIVO
304,7,Hornet,Sportabout,ATIVO
305,4,Toyota,Corona,ATIVO
306,2,Datsun,710,ATIVO
307,23,Ferrari,Dino,ATIVO
308,7,Ford,Pantera,INATIVO
309,12,Lincoln,Continental,ATIVO
310,25,Ford,Pantera,ATIVO
311,75,Cadillac,Fleetwood,ATIVO
312,64,Fiat,128,ATIVO
313,87,Chrysler,Imperial,ATIVO
314,92,Mazda,RX4,ATIVO
315,4,Merc,450SLC,ATIVO
316,90,Fiat,X1-9,ATIVO
317,97,Toyota,Corona,ATIVO
318,69,Fiat,X1-9,ATIVO
319,29,Cadillac,Fleetwood,ATIVO
320,1,Ferrari,Dino,ATIVO
321,4,Cadillac,Fleetwood,ATIVO
322,94,Chrysler,Imperial,INATIVO
323,30,Merc,450SE,ATIVO
324,12,Honda,Civic,ATIVO
325,49,Merc,240D,INATIVO
326,77,Lotus,Europa,ATIVO
327,15,Mazda,RX4,ATIVO
328,35,Fiat,128,ATIVO
329,82,Merc,230,ATIVO
330,22,Merc,240D,ATIVO
331,45,Mazda,RX4,ATIVO
332,60,Hornet,Sportabout,ATIVO
333,44,Ferrari,Dino,ATIVO
334,94,Chrysler,Imperial,ATIVO
335,38,Fiat,X1-9,ATIVO
336,34,Merc,450SL,ATIVO
337,26,Ford,Pantera,ATIVO
338,14,Merc,230,ATIVO
339,22,Merc,240D,ATIVO
340,60,Porsche,914-2,ATIVO
341,18,Merc,240D,INATIVO
342,62,Mazda,RX4,ATIVO
343,62,Merc,280,ATIVO
344,31,Porsche,914-2,INATIVO
345,38,Fiat,128,ATIVO
346,58,Hornet,Sportabout,ATIVO
347,11,Hornet,Sportabout,ATIVO
348,74,Porsche,914-2,ATIVO
349,88,Fiat,128,ATIVO
350,89,Merc,450SE,ATIVO
351,41,Merc,450SLC,ATIVO
352,73,Camaro,Z28,ATIVO
353,88,Toyota,Corona,ATIVO
354,92,Camaro,Z28,ATIVO
355,92,Merc,450SL,ATIVO
356,100,Ford,Pantera,ATIVO
357,48,Hornet,Sportabout,ATIVO
358,61,Merc,280,ATIVO
359,91,Mazda,RX4,ATIVO
360,87,Cadillac,Fleetwood,ATIVO
361,61,AMC,Javelin,ATIVO
362,47,Ferrari,Dino,ATIVO
363,51,Hornet,Sportabout,ATIVO
364,62,Merc,280,ATIVO
365,24,Merc,450SL,ATIVO
366,4,Mazda,RX4,ATIVO
367,39,Datsun,710,ATIVO
368,13,Lincoln,Continental,ATIVO
369,22,Mazda,RX4,ATIVO
370,3,Merc,450SLC,INATIVO
371,96,Merc,450SE,ATIVO
372,62,Toyota,Corolla,ATIVO
373,93,Toyota,Corolla,INATIVO
374,15,Lincoln,Continental,ATIVO
375,51,Merc,450SLC,ATIVO
376,79,Honda,Civic,ATIVO
377,9,Ferrari,Dino,ATIVO
378,72,Toyota,Corona,ATIVO
379,25,Lincoln,Continental,ATIVO
380,19,Ferrari,Dino,ATIVO
381,33,Chrysler,Imperial,ATIVO
382,42,Mazda,RX4,ATIVO
383,53,Porsche,914-2,ATIVO
384,95,Datsun,710,ATIVO
385,2,Merc,240D,ATIVO
386,14,Lincoln,Continental,ATIVO
387,63,Maserati,Bora,ATIVO
388,65,Merc,450SLC,ATIVO
389,3,Duster,360,ATIVO
390,47,Hornet,4,ATIVO
391,65,Duster,360,ATIVO
392,52,Camaro,Z28,ATIVO
393,44,Hornet,Sportabout,ATIVO
394,3,Cadillac,Fleetwood,ATIVO
395,97,Hornet,4,ATIVO
396,33,Merc,240D,INATIVO
397,53,Lotus,Europa,ATIVO
398,7,Cadillac,Fleetwood,ATIVO
399,71,Merc,450SLC,INATIVO
400,7,Merc,240D,ATIVO
401,53,Porsche,914-2,ATIVO
402,25,Merc,240D,ATIVO
403,4,Ford,Pantera,ATIVO
404,18,Lotus,Europa,ATIVO
405,12,Dodge,Challenger,ATIVO
406,18,Porsche,914-2,ATIVO
407,56,Mazda,RX4,ATIVO
408,83,Merc,280,INATIVO
409,42,Merc,230,ATIVO
410,1,Porsche,914-2,ATIVO
411,87,Lincoln,Continental,ATIVO
412,34,Hornet,Sportabout,ATIVO
413,57,Hornet,4,INATIVO
414,12,Mazda,RX4,ATIVO
415,86,Ford,Pantera,ATIVO
416,17,Ford,Pantera,ATIVO
417,37,Ferrari,Dino,ATIVO
418,83,Fiat,128,ATIVO
419,69,Hornet,4,ATIVO
420,92,Mazda,RX4,ATIVO
421,58,Volvo,142E,ATIVO
422,60,Hornet,Sportabout,ATIVO
423,13,Mazda,RX4,ATIVO
424,100,Lotus,Europa,ATIVO
425,59,Chrysler,Imperial,ATIVO
426,74,Pontiac,Firebird,ATIVO
427,100,Merc,230,ATIVO
428,61,Volvo,142E,ATIVO
429,77,Duster,360,ATIVO
430,47,Duster,360,ATIVO
431,3,Mazda,RX4,INATIVO
432,47,Maserati,Bora,ATIVO
433,44,Fiat,X1-9,ATIVO
434,80,Merc,230,ATIVO
435,56,Merc,280C,ATIVO
436,91,Porsche,914-2,ATIVO
437,46,Pontiac,Firebird,ATIVO
438,24,Porsche,914-2,ATIVO
439,23,Volvo,142E,ATIVO
440,41,Hornet,4,ATIVO
441,81,Honda,Civic,ATIVO
442,85,Merc,280C,ATIVO
443,81,Honda,Civic,ATIVO
444,74,Lincoln,Continental,ATIVO
445,24,Chrysler,Imperial,ATIVO
446,73,Ferrari,Dino,ATIVO
447,54,Merc,450SLC,INATIVO
448,20,Merc,280,ATIVO
449,91,Datsun,710,ATIVO
450,83,Lotus,Europa,ATIVO
451,1,Merc,450SE,ATIVO
452,45,Fiat,X1-9,ATIVO
453,30,Chrysler,Imperial,ATIVO
454,8,Maserati,Bora,ATIVO
455,47,Volvo,142E,ATIVO
456,19,Maserati,Bora,ATIVO
457,85,Ford,Pantera,INATIVO
458,57,Lotus,Europa,ATIVO
459,27,Lincoln,Continental,ATIVO
460,58,Ford,Pantera,ATIVO
461,48,Camaro,Z28,ATIVO
462,57,Hornet,4,ATIVO
463,44,Merc,450SL,ATIVO
464,34,Porsche,914-2,ATIVO
465,33,Merc,280,ATIVO
466,84,Maserati,Bora,ATIVO
467,22,Toyota,Corona,ATIVO
468,49,Cadillac,Fleetwood,ATIVO
469,40,Mazda,RX4,ATIVO
470,57,Merc,280,ATIVO
471,13,AMC,Javelin,ATIVO
472,10,Fiat,128,ATIVO
473,90,Merc,280C,ATIVO
474,93,Maserati,Bora,ATIVO
475,62,Merc,280C,ATIVO
476,85,Camaro,Z28,ATIVO
477,63,Duster,360,ATIVO
478,81,Cadillac,Fleetwood,ATIVO
479,5,Toyota,Corona,ATIVO
480,28,Fiat,X1-9,ATIVO
481,33,Dodge,Challenger,ATIVO
482,9,Merc,280C,ATIVO
483,40,Camaro,Z28,ATIVO
484,88,Volvo,142E,ATIVO
485,29,Chrysler,Imperial,ATIVO
486,41,Porsche,914-2,ATIVO
487,25,Mazda,RX4,ATIVO
488,40,Merc,280,ATIVO
489,78,Toyota,Corona,ATIVO
490,83,AMC,Javelin,ATIVO
491,99,Merc,240D,ATIVO
492,9,Dodge,Challenger,ATIVO
493,71,Duster,360,ATIVO
494,44,Chrysler,Imperial,ATIVO
495,69,Merc,280C,INATIVO
496,39,Merc,450SL,ATIVO
497,46,Merc,450SLC,ATIVO
498,96,Merc,280C,ATIVO
499,78,Merc,450SLC,ATIVO
500,46,Hornet,Sportabout,ATIVO
501,81,Volvo,142E,ATIVO
502,29,Mazda,RX4,ATIVO
503,88,Fiat,X1-9,ATIVO
504,21,Pontiac,Firebird,ATIVO
505,32,Hornet,4,ATIVO
506,79,Dodge,Challenger,ATIVO
507,19,Toyota,Corona,ATIVO
508,95,Merc,450SE,ATIVO
509,21,Ferrari,Dino,ATIVO
510,67,Duster,360,ATIVO
511,4,Toyota,Corona,ATIVO
512,29,Pontiac,Firebird,ATIVO
513,74,Merc,450SE,ATIVO
514,53,Merc,450SLC,ATIVO
515,36,Hornet,Sportabout,ATIVO
516,81,Cadillac,Fleetwood,ATIVO
517,43,Pontiac,Firebird,ATIVO
518,11,Honda,Civic,ATIVO
519,29,Volvo,142E,ATIVO
520,43,Hornet,4,ATIVO
521,5,Ferrari,Dino,ATIVO
522,73,Mazda,RX4,ATIVO
523,11,Honda,Civic,ATIVO
524,17,Volvo,142E,ATIVO
525,76,Fiat,128,ATIVO
526,100,Hornet,4,ATIVO
527,34,Merc,280,ATIVO
528,79,Duster,360,ATIVO
529,69,Porsche,914-2,ATIVO
530,36,Hornet,Sportabout,ATIVO
531,80,Merc,450SLC,ATIVO
532,93,Duster,360,ATIVO
533,14,Merc,240D,ATIVO
534,17,Honda,Civic,ATIVO
535,82,Merc,450SE,ATIVO
536,41,Pontiac,Firebird,ATIVO
537,86,AMC,Javelin,ATIVO
538,11,Volvo,142E,ATIVO
539,59,Ford,Pantera,ATIVO
540,49,Mazda,RX4,INATIVO
541,92,Volvo,142E,ATIVO
542,89,Maserati,Bora,ATIVO
543,47,Cadillac,Fleetwood,ATIVO
544,18,Cadillac,Fleetwood,ATIVO
545,41,Cadillac,Fleetwood,ATIVO
546,31,Hornet,4,ATIVO
547,10,Merc,450SL,INATIVO
548,31,AMC,Javelin,ATIVO
549,62,Merc,450SLC,INATIVO
550,35,Camaro,Z28,ATIVO
551,29,Lincoln,Continental,ATIVO
552,46,Mazda,RX4,ATIVO
553,61,Cadillac,Fleetwood,ATIVO
554,47,Chrysler,Imperial,ATIVO
555,95,Chrysler,Imperial,ATIVO
556,53,Merc,450SL,ATIVO
557,66,Mazda,RX4,ATIVO
558,14,Ferrari,Dino,ATIVO
559,65,Volvo,142E,ATIVO
560,2,Hornet,4,ATIVO
561,89,Porsche,914-2,INATIVO
562,55,Merc,240D,ATIVO
563,87,Lincoln,Continental,ATIVO
564,93,Merc,450SE,ATIVO
565,47,Toyota,Corona,ATIVO
566,50,Duster,360,ATIVO
567,66,Lincoln,Continental,ATIVO
568,40,Pontiac,Firebird,INATIVO
569,37,Lotus,Europa,ATIVO
570,72,Merc,280C,ATIVO
571,43,AMC,Javelin,ATIVO
572,34,Lincoln,Continental,ATIVO
573,45,Ferrari,Dino,ATIVO
574,66,Volvo,142E,ATIVO
575,2,Merc,280C,ATIVO
576,34,AMC,Javelin,ATIVO
577,79,Chrysler,Imperial,ATIVO
578,78,Chrysler,Imperial,ATIVO
579,90,Pontiac,Firebird,ATIVO
580,35,Hornet,Sportabout,ATIVO
581,63,Toyota,Corona,ATIVO
582,21,Hornet,Sportabout,ATIVO
583,8,Merc,240D,ATIVO
584,2,Lotus,Europa,ATIVO
585,54,Chrysler,Imperial,ATIVO
586,24,Merc,280C,ATIVO
587,75,Volvo,142E,ATIVO
588,13,Mazda,RX4,ATIVO
589,46,Merc,450SE,ATIVO
590,22,Ford,Pantera,ATIVO
591,25,Ford,Pantera,ATIVO
592,63,Ford,Pantera,ATIVO
593,35,Merc,280C,ATIVO
594,21,Toyota,Corolla,ATIVO
595,17,Datsun,710,ATIVO
596,84,Duster,360,ATIVO
597,25,Cadillac,Fleetwood,ATIVO
598,76,Volvo,142E,ATIVO
599,15,Mazda,RX4,ATIVO
600,53,Dodge,Challenger,ATIVO
601,35,Merc,450SLC,ATIVO
602,49,Fiat,X1-9,ATIVO
603,44,Toyota,Corolla,ATIVO
604,69,Honda,Civic,ATIVO
605,53,Dodge,Challenger,ATIVO
606,43,Mazda,RX4,ATIVO
607,74,Datsun,710,ATIVO
608,9,Ford,Pantera,ATIVO
609,49,Chrysler,Imperial,ATIVO
610,24,Datsun,710,ATIVO
611,69,AMC,Javelin,ATIVO
612,11,Dodge,Challenger,ATIVO
613,41,Merc,450SL,ATIVO
614,39,Toyota,Corona,ATIVO
615,34,Toyota,Corolla,ATIVO
616,14,Mazda,RX4,ATIVO
617,63,Merc,280,ATIVO
618,68,Merc,230,ATIVO
619,70,AMC,Javelin,ATIVO
620,20,Datsun,710,ATIVO
621,23,Toyota,Corolla,ATIVO
622,36,Merc,230,ATIVO
623,86,Merc,230,ATIVO
624,21,Lincoln,Continental,ATIVO
625,76,Fiat,X1-9,ATIVO
626,43,Pontiac,Firebird,ATIVO
627,91,Merc,450SL,ATIVO
628,64,Duster,360,ATIVO
629,37,Hornet,Sportabout,ATIVO
630,46,Maserati,Bora,ATIVO
631,75,Honda,Civic,INATIVO
632,31,Merc,450SL,ATIVO
633,59,Merc,450SE,ATIVO
634,9,Dodge,Challenger,ATIVO
635,22,Hornet,4,ATIVO
636,32,Ford,Pantera,ATIVO
637,93,Ferrari,Dino,ATIVO
638,95,Merc,230,ATIVO
639,94,Merc,280,ATIVO
640,14,Hornet,4,ATIVO
641,33,Cadillac,Fleetwood,ATIVO
642,29,AMC,Javelin,ATIVO
643,45,Merc,450SLC,ATIVO
644,78,Merc,450SLC,ATIVO
645,53,Merc,450SL,ATIVO
646,6,Lotus,Europa,ATIVO
647,64,Merc,280C,ATIVO
648,79,Merc,280,ATIVO
649,42,Hornet,4,ATIVO
650,20,Cadillac,Fleetwood,ATIVO
651,98,Merc,280C,ATIVO
652,16,Dodge,Challenger,ATIVO
653,4,Ford,Pantera,INATIVO
654,22,Merc,280,ATIVO
655,3,Fiat,X1-9,ATIVO
656,30,Merc,240D,ATIVO
657,85,Pontiac,Firebird,ATIVO
658,83,Merc,230,ATIVO
659,44,Fiat,128,ATIVO
660,56,Hornet,4,ATIVO
661,85,Fiat,128,ATIVO
662,57,Hornet,4,ATIVO
663,43,Duster,360,ATIVO
664,53,Merc,450SE,ATIVO
665,37,Datsun,710,ATIVO
666,24,Toyota,Corolla,ATIVO
667,66,Merc,240D,ATIVO
668,13,Toyota,Corona,ATIVO
669,18,Honda,Civic,ATIVO
670,22,Toyota,Corona,ATIVO
671,65,Dodge,Challenger,INATIVO
672,32,Cadillac,Fleetwood,ATIVO
673,94,Datsun,710,ATIVO
674,97,Mazda,RX4,ATIVO
675,34,Cadillac,Fleetwood,ATIVO
676,83,Merc,280C,ATIVO
677,96,Hornet,4,INATIVO
678,24,Camaro,Z28,INATIVO
679,27,Duster,360,ATIVO
680,57,Dodge,Challenger,ATIVO
681,96,Chrysler,Imperial,ATIVO
682,70,Merc,450SL,ATIVO
683,78,Lincoln,Continental,ATIVO
684,99,Toyota,Corona,ATIVO
685,5,Toyota,Corolla,ATIVO
686,87,Toyota,Corolla,ATIVO
687,71,Mazda,RX4,ATIVO
688,94,Merc,450SLC,ATIVO
689,9,Chrysler,Imperial,ATIVO
690,22,Maserati,Bora,ATIVO
691,44,Volvo,142E,ATIVO
692,66,Porsche,914-2,ATIVO
693,53,Volvo,142E,ATIVO
694,30,Lotus,Europa,ATIVO
695,8,Lotus,Europa,ATIVO
696,65,Honda,Civic,ATIVO
697,80,Cadillac,Fleetwood,ATIVO
698,73,Porsche,914-2,ATIVO
699,6,Mazda,RX4,ATIVO
700,96,Merc,280,ATIVO
701,52,Toyota,Corolla,ATIVO
702,52,Ferrari,Dino,ATIVO
703,57,Lincoln,Continental,ATIVO
704,3,Ford,Pantera,ATIVO
705,6,Duster,360,ATIVO
706,80,Merc,230,ATIVO
707,14,Hornet,4,ATIVO
708,74,Merc,450SLC,ATIVO
709,38,AMC,Javelin,ATIVO
710,65,Mazda,RX4,INATIVO
711,36,Mazda,RX4,ATIVO
712,80,Volvo,142E,ATIVO
713,1,Merc,450SL,ATIVO
714,81,Camaro,Z28,ATIVO
715,99,Datsun,710,ATIVO
716,32,Ferrari,Dino,ATIVO
717,73,Lincoln,Continental,ATIVO
718,47,Cadillac,Fleetwood,ATIVO
719,65,Merc,280C,ATIVO
720,20,Chrysler,Imperial,ATIVO
721,86,Ford,Pantera,ATIVO
722,1,Merc,280C,ATIVO
723,59,Ferrari,Dino,ATIVO
724,76,Duster,360,ATIVO
725,92,Duster,360,ATIVO
726,87,Volvo,142E,INATIVO
727,60,Toyota,Corona,ATIVO
728,37,Chrysler,Imperial,ATIVO
729,86,Volvo,142E,ATIVO
730,35,Fiat,128,ATIVO
731,45,Lincoln,Continental,ATIVO
732,73,Merc,450SLC,ATIVO
733,77,Fiat,128,INATIVO
734,90,Ford,Pantera,ATIVO
735,47,Toyota,Corolla,ATIVO
736,56,Toyota,Corolla,ATIVO
737,49,Datsun,710,ATIVO
738,31,Cadillac,Fleetwood,ATIVO
739,9,Merc,230,ATIVO
740,5,Dodge,Challenger,ATIVO
741,29,Merc,450SE,ATIVO
742,86,Datsun,710,ATIVO
743,97,Datsun,710,ATIVO
744,30,Ford,Pantera,ATIVO
